Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-30 09:04:40
OpenMP threads number, per Process;1
Used statistics;./in.rhodo-e-5.scaled_2048_1n_1ont_2048k_aps
Elapsed Time, s;9.39
MPI Time, s;0.06
MPI Time, % of Elapsed Time;0.64
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               6             ;N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               2             ;N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;              17             ;N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2             ;N/A

WARNING: No information about Volume of transfers. Set the APS_STAT_LEVEL value to 2 or greater to generate results. 
| % - percentage of MPI functions total time
| Function summary for all Ranks
Function;Time(sec);Time(%);Imbalance(sec);Imbalance(%);Volume(MB);Volume(%);Calls
                  MPI_Init;            0.05;           77.99     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0471          
                              ; Avg:;0.0471          
                              ; Max:;0.0471          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Alltoallv;            0.01;           17.36     ;            0.00    ;            0.00;              N/A;             N/A;               21
                              ; Min:;0.0000          
                              ; Avg:;0.0005          
                              ; Max:;0.0045          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Comm_dup;            0.00;            1.62     ;            0.00    ;            0.00;              N/A;             N/A;                7
                              ; Min:;0.0000          
                              ; Avg:;0.0001          
                              ; Max:;0.0005          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
                 MPI_Bcast;            0.00;            1.27     ;            0.00    ;            0.00;              N/A;             N/A;              859
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0005          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Alltoall;            0.00;            0.95     ;            0.00    ;            0.00;              N/A;             N/A;               21
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0005          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Allreduce;            0.00;            0.34     ;            0.00    ;            0.00;              N/A;             N/A;               91
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
           MPI_Cart_create;            0.00;            0.33     ;            0.00    ;            0.00;              N/A;             N/A;                2
                              ; Min:;0.0000          
                              ; Avg:;0.0001          
                              ; Max:;0.0002          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
               MPI_Barrier;            0.00;            0.04     ;            0.00    ;            0.00;              N/A;             N/A;                6
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_free;            0.00;            0.04     ;            0.00    ;            0.00;              N/A;             N/A;                2
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Allgather;            0.00;            0.02     ;            0.00    ;            0.00;              N/A;             N/A;               14
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_rank;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;               26
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Cart_get;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                2
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
            MPI_Cart_shift;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                6
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
| TOTAL                   ;            0.06;          100.00     ;            0.00    ;            0.00;              N/A;             N/A;             1079

WARNING: No information about Volume of transfers. Set the APS_STAT_LEVEL value to 2 or greater to generate results. 
| Communicators used in the application
Communicator Id;Communicator Size;Time (Rank Average)(sec);Ranks
