Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-31 16:15:22
OpenMP threads number, per Process;1
Used statistics;./in.eam.scaled_2048-double_1n_1ont_2048k_aps
Elapsed Time, s;2.25
MPI Time, s;0.06
MPI Time, % of Elapsed Time;2.53
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
| Function summary for all Ranks
Function;Time(sec);Time(%);Imbalance(sec);Imbalance(%);Volume(MB);Volume(%);Calls
                  MPI_Init;            0.06;           99.62     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0568          
                              ; Avg:;0.0568          
                              ; Max:;0.0568          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
                 MPI_Bcast;            0.00;            0.11     ;            0.00    ;            0.00;              N/A;             N/A;               74
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
           MPI_Cart_create;            0.00;            0.11     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0001          
                              ; Avg:;0.0001          
                              ; Max:;0.0001          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Allreduce;            0.00;            0.08     ;            0.00    ;            0.00;              N/A;             N/A;               14
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
                  MPI_Scan;            0.00;            0.03     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
               MPI_Barrier;            0.00;            0.02     ;            0.00    ;            0.00;              N/A;             N/A;                2
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_free;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Cart_get;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_rank;            0.00;            0.00     ;            0.00    ;            0.00;              N/A;             N/A;                9
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
            MPI_Cart_shift;            0.00;            0.00     ;            0.00    ;            0.00;              N/A;             N/A;                3
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_size;            0.00;            0.00     ;            0.00    ;            0.00;              N/A;             N/A;                4
                              ; Min:;0.0000          
| TOTAL                   ;            0.06;          100.00     ;            0.00    ;            0.00;              N/A;             N/A;              114

WARNING: No information about Volume of transfers. Set the APS_STAT_LEVEL value to 2 or greater to generate results. 
| Communicators used in the application
Communicator Id;Communicator Size;Time (Rank Average)(sec);Ranks
