Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:10:45
OpenMP threads number, per Process;1
Used statistics;./in.lj.timer_1n_1ont_2048k_aps
Elapsed Time, s;1.42
MPI Time, s;0.07
MPI Time, % of Elapsed Time;5.08
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
  AVG;          563.00 ;

Resident Memory Usage per Node, MB
Total;          563.00 ;all nodes
  MIN;          563.00 ;Node instance-20220519-1049
  MAX;          563.00 ;Node instance-20220519-1049
  AVG;          563.00 ;

Virtual Memory Usage per Rank, MB
Total;         1762.00 ;all ranks
  MIN;         1762.00 ;Rank 0
  MAX;         1762.00 ;Rank 0
  AVG;         1762.00 ;

Virtual Memory Usage per Node, MB
Total;         1762.00 ;all nodes
  MIN;         1762.00 ;Node instance-20220519-1049
  MAX;         1762.00 ;Node instance-20220519-1049
  AVG;         1762.00 ;

| MPI Time per Rank for all Ranks
Rank;Elapsed Time(sec);    MPI;Time(sec);    MPI;Time(%);Imbalance(sec);Imbalance(%)
  0000 ;            1.42;            0.07;           5.08;            0.00;           0.00
| TOTAL;            1.42;            0.07;           5.08;            0.00;           0.00
| AVG  ;            1.42;            0.07;           5.08;            0.00;           0.00

| Number of ranks = 1

|#########################################################
| RANK 0
|#########################################################
Elapsed Time;1.42;sec
MPI Time;0.07;sec;5.08%
MPI Imbalance;0.00;sec;0.00%

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;AvrMsgSize(B)
            MPI_Init;            0.07;            5.05;             N/A;             N/A;               1;             N/A
           MPI_Bcast;            0.00;            0.01;             N/A;             N/A;              65;             N/A
     MPI_Cart_create;            0.00;            0.01;             N/A;             N/A;               1;             N/A
       MPI_Allreduce;            0.00;            0.01;             N/A;             N/A;              14;             N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               2;             N/A
            MPI_Scan;            0.00;            0.00;             N/A;             N/A;               1;             N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               1;             N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               1;             N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               3;             N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               1;             N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;               9;             N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;               4;             N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2;             N/A
| TOTAL             ;            0.07;            5.08;             N/A;             N/A;             105;             N/A

Function;Time(sec);Time(%);Volume(MB);Volume(%);Calls;MsgSize(B)
            MPI_Init;            0.07;            5.05;             N/A;             N/A;               1             ;N/A
           MPI_Bcast;            0.00;            0.01;             N/A;             N/A;              65             ;N/A
     MPI_Cart_create;            0.00;            0.01;             N/A;             N/A;               1             ;N/A
       MPI_Allreduce;            0.00;            0.01;             N/A;             N/A;              14             ;N/A
         MPI_Barrier;            0.00;            0.00;             N/A;             N/A;               2             ;N/A
            MPI_Scan;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
       MPI_Comm_free;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
        MPI_Cart_get;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
      MPI_Cart_shift;            0.00;            0.00;             N/A;             N/A;               3             ;N/A
       MPI_Cart_rank;            0.00;            0.00;             N/A;             N/A;               1             ;N/A
       MPI_Comm_rank;            0.00;            0.00;             N/A;             N/A;               9             ;N/A
       MPI_Comm_size;            0.00;            0.00;             N/A;             N/A;               4             ;N/A
       MPI_Type_size;            0.00;            0.00;             N/A;             N/A;               2             ;N/A

WARNING: No information about Volume of transfers. Set the APS_STAT_LEVEL value to 2 or greater to generate results. 
| % - percentage of MPI functions total time
| Function summary for all Ranks
Function;Time(sec);Time(%);Imbalance(sec);Imbalance(%);Volume(MB);Volume(%);Calls
                  MPI_Init;            0.07;           99.31     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0719          
                              ; Avg:;0.0719          
                              ; Max:;0.0719          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
                 MPI_Bcast;            0.00;            0.23     ;            0.00    ;            0.00;              N/A;             N/A;               65
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0001          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
           MPI_Cart_create;            0.00;            0.22     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0002          
                              ; Avg:;0.0002          
                              ; Max:;0.0002          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Allreduce;            0.00;            0.13     ;            0.00    ;            0.00;              N/A;             N/A;               14
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
               MPI_Barrier;            0.00;            0.04     ;            0.00    ;            0.00;              N/A;             N/A;                2
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
                  MPI_Scan;            0.00;            0.03     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_free;            0.00;            0.02     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
              MPI_Cart_get;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
            MPI_Cart_shift;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                3
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Cart_rank;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                1
                              ; Min:;0.0000          
                              ; Avg:;0.0000          
                              ; Max:;0.0000          
|-----------------------------------------------------------------------------------------------------------------------------------------------------------
             MPI_Comm_rank;            0.00;            0.01     ;            0.00    ;            0.00;              N/A;             N/A;                9
                              ; Min:;0.0000          
| TOTAL                   ;            0.07;          100.00     ;            0.00    ;            0.00;              N/A;             N/A;              105

WARNING: No information about Volume of transfers. Set the APS_STAT_LEVEL value to 2 or greater to generate results. 
| Communicators used in the application
Communicator Id;Communicator Size;Time (Rank Average)(sec);Ranks
